Bathroom,BHK,Size,Area
2,2,6.856461984594587,1
2,2,7.170888478512505,1
2,3,6.974478911025045,0
2,2,6.967909201801884,0
3,3,7.484368643286131,1
2,3,7.1891677384203225,1
1,1,5.480638923341991,1
2,2,6.633318433280377,0
1,1,6.113682179832232,0
2,2,6.278521424165844,0
2,3,6.931471805599453,0
2,2,6.907755278982137,0
3,3,7.090076835776092,0
3,3,7.118826249062078,0
2,2,6.418364935936212,0
2,3,7.254884810077338,1
2,2,6.620073206530356,0
3,3,7.3777589082278725,0
3,3,7.109062135687172,0
2,2,7.205635176410364,0
2,2,7.194436851100335,0
2,2,6.519147287940395,0
3,3,6.900730664045173,0
2,2,6.952728644624869,0
2,2,6.887552571664617,0
2,2,6.897704943128636,0
2,3,6.9930151229329605,0
2,2,6.620073206530356,1
3,3,7.583756300707112,0
1,1,5.703782474656201,1
2,2,6.899723107284872,0
2,2,6.8001700683022,0
3,3,7.515344571180436,0
2,2,6.745236349484363,1
3,3,7.129297548929373,0
3,3,7.048386408721883,0
2,2,6.582025138892826,0
3,3,7.600902459542082,1
2,2,7.045776576879511,1
3,3,7.651595573857601,0
2,2,6.75343791859778,0
2,2,6.551080335043404,0
2,2,6.692083742506628,0
2,2,7.094234845924755,0
2,2,6.490723534502507,0
2,2,6.779921907472252,0
1,1,6.063785208687608,0
3,3,7.557994958530806,0
1,1,5.966146739123692,0
2,2,7.119635638017636,1
2,2,6.171700597410915,0
2,2,7.146772179452637,1
2,2,7.051855622955894,0
2,2,6.551080335043404,0
2,2,6.675823221634848,0
3,3,6.891625897052253,0
3,3,7.090076835776092,0
3,3,7.3777589082278725,0
3,3,7.354362330421477,0
2,2,7.090076835776092,1
3,3,7.090076835776092,0
3,3,7.668093709082406,0
3,3,7.122866658599083,0
2,2,6.844815479208263,0
1,1,6.1092475827643655,1
2,2,6.733401891837359,0
2,2,6.683360945766275,0
3,3,7.220373836723949,0
3,3,7.085901464365611,0
1,1,6.582025138892826,0
1,2,6.214608098422191,0
2,2,7.07326971745971,1
3,3,6.996681488176539,0
3,3,7.356918242356021,0
2,2,6.878326468291325,0
1,2,6.802394763324311,1
3,3,6.950814768442584,0
3,3,7.10085190894405,0
2,2,6.907755278982137,0
1,1,6.396929655216146,1
3,3,7.134890851565884,0
2,2,6.816735880594968,0
1,2,6.856461984594587,1
1,2,6.684611727667927,1
2,2,6.588926477533519,0
1,1,6.1092475827643655,0
2,2,6.3578422665081,0
2,2,6.625392368007956,0
3,3,7.090076835776092,0
3,3,7.090076835776092,0
1,2,6.396929655216146,1
2,2,6.643789733147672,0
2,2,6.75343791859778,0
2,3,6.84587987526405,0
1,2,6.461468176353717,0
2,2,6.616065185132817,0
2,2,6.429719478039138,0
3,3,7.495541943884256,0
2,2,6.529418838262226,0
2,2,7.064759027791802,1
2,2,6.893656354602635,0
3,3,7.509883061154913,0
2,3,7.309212365692763,0
2,3,6.823286122355687,0
2,2,6.81783057145415,1
2,2,6.423246963533519,0
2,2,6.591673732008658,0
1,1,6.257667587882639,0
1,1,5.991464547107982,0
2,2,6.7661917146603505,0
3,3,7.090076835776092,0
3,3,7.143617602704121,0
3,3,7.155396301896734,0
2,3,7.466227556215481,1
2,2,6.9167150203536085,0
3,3,7.065613363597717,0
2,2,6.620073206530356,0
2,2,6.695798917058491,0
2,2,6.956545443151569,1
1,1,6.1092475827643655,0
3,3,7.51479976048867,1
2,2,7.170119543449628,1
2,2,6.887552571664617,0
3,3,7.508238774678663,0
2,2,6.588926477533519,0
3,3,7.438383530044307,0
2,3,7.201170883281678,1
2,2,6.606650186198215,0
2,2,7.495541943884256,1
2,2,7.003065458786462,0
2,2,6.618738983517219,0
3,3,7.4821189235521155,0
2,2,7.090076835776092,1
2,2,6.893656354602635,0
2,2,7.186144304522325,0
2,2,6.894670039433482,0
2,2,6.684611727667927,0
1,2,5.298317366548036,1
1,1,6.021023349349527,0
2,2,6.78332520060396,0
2,2,6.86484777797086,0
3,3,7.090076835776092,0
3,3,7.0925737159746784,0
1,1,6.214608098422191,1
2,2,6.591673732008658,0
2,2,7.074116816197362,0
1,1,5.953243334287785,0
3,3,7.025538314638521,0
2,2,7.093404625868766,0
1,1,5.720311776607412,1
2,2,6.532334292222349,0
2,2,6.728628613084702,0
2,2,7.090076835776092,0
1,1,5.703782474656201,1
1,1,6.476972362889683,1
2,2,6.418364935936212,0
2,2,6.413458957167357,0
3,3,6.866933284461882,0
2,2,6.669498089857879,0
2,2,6.851184927493743,0
2,2,6.86484777797086,0
2,2,6.684611727667927,0
3,3,7.532623618788788,0
2,2,6.210600077024653,0
3,3,7.090076835776092,0
2,2,6.542471960506805,0
2,2,6.6240652277998935,0
2,2,6.576469569048224,0
2,2,7.164720378771857,1
2,2,6.437751649736401,0
1,1,6.154858094016418,1
2,2,6.672032945461067,0
2,2,6.85751406254539,0
2,2,6.522092798170152,0
2,2,7.005789019253503,0
2,2,6.628041376179533,0
1,2,6.476972362889683,1
2,2,6.747586526829315,0
2,2,6.639875833826536,0
2,2,6.951772164398911,0
2,2,6.5638555265321274,0
3,3,7.551186867296149,1
1,1,6.214608098422191,1
1,1,6.214608098422191,1
2,2,6.776506992372183,0
3,3,7.495541943884256,0
2,2,7.135687347028144,0
3,3,7.162397497355718,0
2,2,6.727431724850855,0
1,1,6.1092475827643655,1
2,2,6.52795791762255,0
1,1,6.272877006546167,0
3,3,7.507690077819904,1
2,2,7.037905963447182,0
3,3,7.090076835776092,0
2,3,6.878326468291325,0
2,2,6.856461984594587,1
3,3,7.069874128458572,0
2,2,7.05617528410041,0
2,2,6.568077911411976,0
3,3,6.97914527506881,0
2,2,6.507277712385012,1
1,2,6.907755278982137,0
3,3,7.003065458786462,0
2,2,6.643789733147672,0
2,2,6.756932389247553,0
2,2,6.848005274576363,0
3,3,7.090076835776092,0
2,2,6.902742737158593,0
2,2,6.09807428216624,0
3,3,7.604396348796338,0
2,2,6.558197802812269,0
3,3,7.373374309910049,0
3,3,6.755768921984255,0
2,2,6.86171134048073,0
2,2,7.239214973779806,0
2,3,7.154615356913663,1
2,3,7.307872780763706,0
1,1,6.745236349484363,1
3,3,7.003065458786462,0
1,1,6.429719478039138,0
2,2,6.8001700683022,0
1,1,5.991464547107982,1
2,2,7.173958319756794,0
2,2,6.54965074223381,0
2,2,6.553933404025811,0
3,3,7.410347097821024,0
2,2,6.981934677156389,0
3,3,7.134093721192866,0
2,2,6.980075940561763,0
1,1,6.1092475827643655,1
2,2,6.890609120147166,0
2,2,6.584791392385716,0
3,3,7.090076835776092,0
2,2,6.767343125265392,0
3,3,7.140453043101158,0
2,2,6.721425700790643,1
2,3,7.335633981927201,0
3,3,7.500529485395295,0
3,3,7.495541943884256,0
3,3,7.3453648404168685,0
2,2,6.900730664045173,0
2,2,6.659293919683638,1
2,2,6.569481420414296,0
3,3,7.101675971619444,0
1,1,6.1463292576688975,0
3,3,7.149916836132109,0
2,2,6.7661917146603505,0
2,2,7.090076835776092,1
2,2,6.962243464266207,0
3,3,7.588829878307813,0
2,2,7.284820912568604,0
2,2,6.714170529909472,0
2,2,7.00397413672268,0
1,2,6.1092475827643655,0
2,2,6.939253946041508,1
3,3,7.509883061154913,0
2,3,7.194436851100335,1
2,2,6.675823221634848,0
2,3,7.355001921105257,0
2,3,7.051855622955894,1
3,3,7.237778191923443,0
2,2,6.907755278982137,1
2,2,6.620073206530356,0
2,2,6.796823718274855,0
3,3,7.090076835776092,0
3,3,7.090076835776092,0
2,2,6.670766320845874,0
2,2,6.75343791859778,0
2,2,6.620073206530356,1
3,3,7.090076835776092,0
2,2,7.243512974665482,0
3,3,7.003065458786462,0
2,2,6.92951677076365,1
2,2,7.038783541388542,1
2,3,7.249925536717988,1
1,1,6.12029741895095,1
2,2,6.824373670043086,0
3,3,7.126087273299125,0
2,2,6.981934677156389,0
2,2,6.56244409369372,0
2,2,6.887552571664617,1
2,2,7.003065458786462,0
2,2,6.651571873589727,0
2,3,7.430707082545968,1
3,3,7.277938572945661,0
2,2,6.831953565565855,0
2,2,6.582025138892826,0
2,2,6.859614903654202,0
2,2,6.476972362889683,0
1,2,6.907755278982137,1
2,2,7.079184394609668,1
3,3,7.145196134997171,0
1,1,6.073044534100405,1
2,2,6.481577129276431,0
2,3,6.928537818164665,0
2,2,6.684611727667927,0
3,3,6.985641817639208,0
2,2,6.728628613084702,0
1,1,6.214608098422191,1
2,2,6.919683849847411,0
2,3,7.401231264413015,0
3,2,6.551080335043404,0
3,3,7.099201743553092,0
2,3,7.326465613840322,1
2,3,7.258412150595307,1
1,1,5.075173815233827,1
2,2,7.228388451573604,1
3,3,7.5953872788539725,0
2,2,6.654152520183219,0
2,2,6.551080335043404,0
3,3,7.02197642307216,0
2,2,6.561030665896573,0
2,2,6.802394763324311,0
2,2,6.745236349484363,0
3,3,7.090076835776092,0
3,3,7.306531398939505,0
2,2,6.559615237493242,0
2,2,6.82001636467413,0
3,3,7.090076835776092,0
1,1,6.025865973825314,0
2,2,7.32052696227274,0
2,2,6.813444599510896,0
2,3,7.232010331664759,0
2,2,6.324358962381311,0
2,2,6.81783057145415,0
2,2,6.680854678790215,0
1,1,6.214608098422191,1
2,2,7.163946684342547,0
2,2,7.090076835776092,1
2,2,6.738152494595957,0
2,3,7.117205503164344,1
2,2,6.745236349484363,0
1,1,6.214608098422191,0
1,1,5.976350909297934,0
3,3,6.88653164253051,0
3,3,7.13966033596492,0
3,3,7.090076835776092,0
2,2,6.716594773520978,0
2,2,7.249215057114389,1
2,2,6.476972362889683,0
1,1,6.263398262591624,0
2,2,6.860663671448287,0
1,1,5.991464547107982,0
3,3,7.090076835776092,0
2,2,6.675823221634848,0
3,3,7.585788821732034,0
3,3,6.859614903654202,0
3,3,6.930494765951626,0
2,2,6.795705775173514,0
2,3,7.155396301896734,0
3,3,6.956545443151569,0
2,2,6.584791392385716,0
3,3,7.24422751560335,0
2,2,7.600902459542082,0
1,1,6.309918278226516,0
2,2,6.956545443151569,0
3,3,7.528869256642251,0
2,2,6.359573868672378,0
2,2,6.752270376141742,0
3,3,7.090076835776092,0
3,3,7.325807502595773,0
3,3,7.090076835776092,0
2,2,6.802394763324311,0
2,2,6.728628613084702,0
2,2,4.605170185988092,1
3,3,7.564757012905729,0
2,2,7.0317412587631285,1
3,3,7.090076835776092,0
3,3,7.550135342488429,0
1,1,5.991464547107982,1
2,2,6.795705775173514,1
3,3,7.317212408359839,0
2,2,6.618738983517219,0
2,2,6.654152520183219,0
3,3,7.117205503164344,0
3,3,7.090076835776092,0
2,2,5.942799375126701,0
3,3,7.114769448366463,0
2,2,6.523562306149512,0
3,3,7.1929342212158,0
2,2,6.580639137284949,0
3,3,7.554334823725748,0
2,2,6.612041034833092,0
3,3,7.1846291527173145,0
2,2,6.52649485957079,0
2,3,6.773080375655535,0
3,3,6.881411303642535,0
2,2,7.090076835776092,1
2,2,6.620073206530356,0
2,2,6.327936783729195,0
3,3,7.3796321526095525,0
3,3,7.116394144093465,0
2,2,7.00033446027523,0
3,3,7.447751280047908,0
2,3,7.003065458786462,0
2,2,6.716594773520978,0
2,2,7.172424577124845,0
3,3,7.090076835776092,0
2,2,6.551080335043404,0
3,3,7.639642287858013,1
3,3,7.495541943884256,0
2,2,6.752270376141742,0
1,2,6.214608098422191,0
2,2,6.974478911025045,0
2,2,6.55250788703459,0
2,2,6.428105272684596,0
2,3,7.003065458786462,0
2,2,7.003065458786462,0
3,3,7.563719668414366,1
2,2,6.802394763324311,0
3,3,6.92951677076365,0
3,3,7.090076835776092,0
2,2,7.198183577101943,0
2,2,6.695798917058491,0
2,2,6.684611727667927,1
2,2,6.802394763324311,1
2,2,6.620073206530356,0
3,3,7.090076835776092,0
2,2,6.498282149476434,0
2,3,7.3777589082278725,0
2,2,6.53813982376767,0
2,2,6.692083742506628,0
3,3,7.3777589082278725,1
2,2,6.785587645007929,0
3,3,7.570443252057374,1
3,3,7.090076835776092,0
2,2,6.641182169740591,0
3,3,7.090076835776092,0
2,2,6.684611727667927,1
2,2,6.597145701886651,0
2,2,6.693323668269949,0
2,2,4.543294782270004,0
2,2,4.248495242049359,1
2,2,6.902742737158593,0
1,2,5.634789603169249,1
2,2,6.663132695990803,0
2,2,6.476972362889683,0
3,3,7.220373836723949,0
2,2,6.716594773520978,1
3,3,7.52294091807237,0
2,2,6.620073206530356,0
3,3,7.462789157412448,1
1,1,6.063785208687608,0
3,3,7.527793987721444,0
3,3,7.418180822726788,0
3,3,7.090076835776092,0
2,2,6.559615237493242,0
1,1,5.991464547107982,0
2,2,6.6240652277998935,0
3,3,7.090076835776092,0
3,3,7.6093665379542115,0
3,3,7.065613363597717,0
2,2,6.946975992135418,0
1,2,6.802394763324311,1
3,3,7.286191714702382,0
2,3,7.3098814858247865,1
2,3,7.027314514039777,1
2,2,6.650279048587422,0
2,2,6.7661917146603505,0
2,2,6.736966958001855,0
2,2,6.767343125265392,0
2,2,6.2878585601617845,0
3,3,7.3777589082278725,0
2,2,6.907755278982137,1
2,2,6.595780513961311,0
2,2,6.903747257584598,0
2,2,7.097548850614793,1
3,3,7.438971592395862,0
2,3,7.313220387090301,0
3,3,7.091742115095153,0
3,3,6.828712071641684,0
2,2,6.852242569051878,0
3,3,7.090076835776092,0
2,2,6.416732282512326,0
3,3,7.392031567514591,0
1,1,6.309918278226516,1
2,2,4.430816798843313,0
2,1,6.429719478039138,0
3,3,7.090076835776092,0
2,2,6.56244409369372,0
2,3,6.7661917146603505,0
2,2,6.697034247666484,0
3,3,7.254884810077338,0
3,3,6.949856455000773,0
2,2,6.956545443151569,1
2,2,6.620073206530356,0
3,3,6.80903930604298,0
2,3,6.988413181999592,0
2,2,6.620073206530356,0
3,3,7.447751280047908,0
3,3,7.0825485693553,0
3,3,7.3777589082278725,1
2,2,7.003065458786462,0
3,3,7.600902459542082,0
3,3,7.142036574706803,0
1,1,6.907755278982137,1
2,3,7.255591274253665,1
3,3,7.133295954896068,0
2,2,6.70808408385307,0
2,2,6.670766320845874,0
3,3,7.160845906664299,0
2,3,7.083387847625295,0
2,2,7.170119543449628,1
2,2,7.1308988302963465,1
1,1,6.579251212010101,0
2,2,6.760414691083428,0
3,3,7.254177846456518,0
2,2,7.090076835776092,1
3,3,7.5740450053721995,1
2,2,7.401231264413015,1
3,3,7.1929342212158,0
2,2,6.782192056006791,0
3,3,7.081708586105575,0
3,3,7.090076835776092,0
1,2,6.214608098422191,1
3,3,6.907755278982137,0
3,3,7.20414929203594,0
3,3,7.090076835776092,0
3,3,6.844815479208263,0
2,2,6.933423025730715,0
2,2,6.620073206530356,0
2,2,4.700480365792417,0
1,1,4.969813299576001,1
3,3,7.090076835776092,0
1,1,6.295266001439646,1
2,2,6.692083742506628,0
2,2,6.594413459749778,0
3,3,7.543273346705446,0
2,2,7.145196134997171,0
2,2,6.684611727667927,0
3,3,7.200424892944957,0
2,2,6.553933404025811,0
3,3,7.387090235656757,0
3,3,7.427144133408616,1
2,2,6.576469569048224,0
3,3,7.1846291527173145,0
3,3,7.090076835776092,0
3,3,6.98100574072173,0
3,3,6.974478911025045,0
3,3,6.907755278982137,0
2,2,6.630683385642372,0
1,1,6.309918278226516,1
3,3,7.494430215031565,0
1,1,6.102558594613569,0
2,2,6.651571873589727,0
3,3,7.060476365999801,0
3,3,7.2254814727822945,0
1,2,6.486160788944089,0
3,3,7.277247726631484,0
3,3,6.907755278982137,1
2,2,6.476972362889683,0
3,3,7.090076835776092,0
3,3,7.090076835776092,0
2,2,6.658011045870748,0
2,2,6.523562306149512,0
2,2,6.476972362889683,1
2,3,7.2078598714324755,1
2,2,6.767343125265392,0
2,2,6.910750787961936,1
2,2,6.62273632394984,0
2,2,7.271703706887368,0
1,1,6.214608098422191,0
2,2,6.8308742346461795,0
2,2,6.907755278982137,0
3,3,7.090076835776092,0
2,2,6.432940092739179,0
3,3,7.24422751560335,0
3,3,7.259116128097101,0
2,2,7.090076835776092,1
2,1,6.39024066706535,0
3,3,6.860663671448287,0
2,3,7.568379267836522,1
2,1,6.008813185442595,1
2,2,6.82001636467413,0
1,1,5.298317366548036,1
2,2,6.6895992691789665,0
3,3,7.234177179749849,0
3,3,7.090076835776092,0
3,3,6.866933284461882,0
3,3,7.154615356913663,0
2,2,6.741700694652055,0
2,2,6.53813982376767,0
3,3,7.369600720526409,0
3,3,7.090076835776092,0
2,2,7.090076835776092,1
3,3,7.145196134997171,0
2,2,6.61472560020376,0
3,3,7.4067107301776405,0
3,3,7.259116128097101,0
2,2,6.777646593635117,0
1,1,6.551080335043404,0
2,2,7.003065458786462,1
2,2,6.927557906278317,0
3,3,7.493873886783559,1
2,2,6.679599185844383,0
3,3,7.289610521451167,0
3,3,7.559038255443384,0
3,3,6.975413927455952,0
3,3,7.0925737159746784,0
3,3,7.333023014386481,0
2,2,6.4457198193855785,0
3,3,6.97354301952014,0
2,3,7.429520842786462,0
1,2,6.396929655216146,1
3,3,7.158513997329321,0
2,2,6.914730892718563,0
3,3,7.443663683115591,0
2,2,6.51025834052315,0
3,3,7.568379267836522,0
3,3,7.549082710812286,0
2,2,6.396929655216146,1
3,3,7.002155954403621,0
2,2,7.003065458786462,1
2,2,6.511745329644728,0
2,2,6.666956792429207,0
2,3,7.297091005160418,0
3,3,7.259116128097101,0
3,3,7.426549072397305,0
2,2,6.588926477533519,0
2,3,7.417580402414544,1
2,2,6.910750787961936,0
2,2,6.4967749901858625,0
1,1,6.214608098422191,1
2,3,7.438383530044307,1
3,3,7.154615356913663,0
3,3,7.166265974133638,0
2,2,6.54534966033442,0
2,2,7.311218384419629,0
1,1,6.551080335043404,1
2,2,6.513230110912307,0
2,2,7.030857476116121,0
2,2,6.829793737512425,1
2,3,7.24422751560335,1
2,2,6.905753276311464,0
3,3,7.273092595999522,0
2,2,6.565264970035361,0
2,1,6.159095388491933,0
2,2,6.620073206530356,1
2,2,6.561030665896573,0
2,3,7.4109518755836366,0
3,3,7.3901814282264295,0
2,2,6.476972362889683,0
2,2,6.68586094706836,0
3,3,7.575584651557793,0
2,2,6.620073206530356,0
3,3,7.403061091090091,0
1,1,5.768320995793772,1
2,2,7.160069207596127,0
3,3,7.090076835776092,0
3,3,7.149131598557407,0
2,2,6.620073206530356,0
3,3,7.40184157874383,0
2,2,6.725033642166843,0
3,3,7.24422751560335,0
3,3,7.4821189235521155,0
2,2,6.802394763324311,0
3,3,7.0909098220799835,0
3,3,7.52294091807237,0
2,2,6.877296071497429,0
3,3,7.090076835776092,0
2,3,6.970730078143525,1
3,3,7.630946580890459,1
2,2,6.591673732008658,0
2,2,6.914730892718563,0
2,2,6.476972362889683,0
2,3,7.2078598714324755,0
3,3,6.920671504248683,0
2,1,6.150602768446279,0
2,2,6.476972362889683,0
3,3,7.4999765409521215,0
3,3,7.10085190894405,0
2,2,7.379008127628304,0
2,2,6.853299093186078,0
2,2,6.7226297948554485,0
2,2,6.584791392385716,0
2,2,6.802394763324311,1
3,3,7.163946684342547,0
2,2,6.489204931325317,0
3,3,7.1631723908466425,0
3,3,7.600902459542082,1
2,2,6.476972362889683,0
3,3,7.1631723908466425,0
3,3,7.349230824613334,0
2,2,6.569481420414296,0
2,2,6.907755278982137,0
1,2,6.551080335043404,1
3,3,7.426549072397305,0
1,1,5.991464547107982,1
2,2,6.8501261661455,0
1,1,6.476972362889683,1
2,2,6.601230118728877,0
2,3,7.002155954403621,0
3,3,7.067319848653476,0
2,2,7.146772179452637,1
3,3,7.549609165154532,0
2,2,6.63200177739563,0
2,2,7.003065458786462,1
2,3,6.917705609835305,0
1,1,6.20050917404269,0
2,2,6.815639990074331,1
3,3,6.985641817639208,0
2,2,7.1252830915107115,0
2,3,7.27931883541462,1
2,2,6.71174039505618,0
2,2,7.421177528595393,1
3,3,7.24422751560335,0
1,1,5.857933154483459,0
3,3,7.451241684987676,0
2,2,7.161622002939187,0
3,3,7.188412736496954,0
2,2,7.086737934510577,0
3,3,7.090076835776092,0
3,3,7.090076835776092,0
3,3,7.217443431696533,0
3,3,7.222566018822171,0
3,3,7.147559271189454,0
3,3,7.090076835776092,0
3,3,7.115582126184454,0
